IDs,ECFCs_Crit_C1,ECFCs_Crit_C2,ECFCs_Crit_C3,ECFCs_Crit_C4,ECFCs_Crit_C5,ECFCs_Crit_C6,ECFCs_Crit_C7,ECFCs_Crit_C8,ECFCs_PCR+_066,ECFCs_PCR+_081,ECFCs_PCR+_090,ECFCs_PCR+_111,ECFCs_PCR+_163,ECFCs_PCR+_169,ECFCs_PCR+_195,ECFCs_PCR+_299,ECFCs_Neg_001,ECFCs_Neg_013,ECFCs_Neg_0012,ECFCs_Neg_004,ECFCs_Neg_005,ECFCs_Neg_006,ECFCs_Neg_007,ECFCs_Neg_008
P49711,17.0476,7.2516,108.041,35.2438,27.645,51.2626,65.8424,54.5891,15.9321,25.3382,19.4019,12.5831,17.5845,13.8588,17.8777,6.73146,3.71578,9.7163,2.51196,5.20174,,2.97457,4.39929,
P51452,122.435,153.156,165.917,171.764,326.367,142.526,173.155,157.045,99.35,104.879,111.899,80.7662,107.361,87.9752,81.741,93.1009,110.379,113.221,122.102,103.827,128.228,110.88,114.608,127.997
P52434,122.615,104.846,167.572,159.722,102.743,131.793,146.395,189.72,74.2472,103.628,123.714,135.44,127.825,121.096,72.2797,86.9536,43.1637,64.0781,40.5254,66.7716,60.7894,56.2265,49.6624,77.6208
P52565,492.574,511.25,494.121,489.532,476.273,518.199,557.534,545.312,450,487.927,457.511,438.475,457.689,435.889,458.863,449.231,388.11,350.7,283.34,316.686,325.77,375.805,385.109,363.368
P53602,63.1991,45.7402,35.0552,37.2902,48.9253,54.6889,46.0693,40.4403,52.17,48.3772,44.0625,45.0468,49.0473,55.1043,36.3688,61.688,69.5024,79.439,84.2295,66.9446,66.1306,56.1238,53.4354,58.0751
P54652,656.746,489.267,418.216,318.847,531.352,408.683,306.956,292.598,383.847,448.036,273.787,297.524,270.617,326.663,432.768,336.63,259.285,120.547,147.092,249.364,186.993,245.205,197.095,189.281
P57081,71.052,55.6563,149.944,154.479,50.3447,158.16,132.425,136.846,127.434,191.896,131.514,132.766,105.128,170.851,69.5654,99.278,82.0576,27.9739,39.4391,104.992,32.8651,80.8037,53.7597,57.3507
P57764,41.1603,46.0579,56.3432,45.5207,74.5545,58.2391,62.0357,52.8722,83.3073,92.9573,56.4523,51.2179,57.749,62.8089,81.6412,53.4245,47.0659,43.9669,40.3945,40.0447,36.4056,45.884,63.9396,31.9735
P60059,1644.52,1937.34,1234.26,1284.72,1391.77,1368.34,1087.02,1182.6,2248.22,1759.83,635.791,939.488,1001.44,612.367,3139.15,1490.84,3527.36,4796.98,5186.62,2022.06,3792.16,4593.34,6400.68,2950.53
P62244,170.122,124.394,155.878,155.657,140.275,135.185,131.7,161.231,113.289,157.266,126.49,124.345,118.493,136.897,150.494,123.944,101.487,88.7326,96.954,116.093,107.365,113.96,111.743,97.6541
Q01968,115.242,107.192,63.7071,68.2641,121.778,99.9441,76.6992,89.2951,120.551,117.7,68.7785,74.9507,69.2182,77.2985,74.4616,88.1441,131.394,133.084,142.275,95.4996,204.248,135.396,135.088,94.5913
Q04323,79.1199,126.533,153.362,151.059,120.209,138.525,158.863,133.586,113.845,165.145,156.079,116.951,156.435,139.091,90.1726,108.441,49.3669,52.0049,44.1365,98.9937,67.3707,37.6993,34.6918,106.848
Q06136,,,49.4261,46.4523,,45.8905,61.2264,39.4804,126.862,117.489,79.8153,78.182,112.504,102.533,109.489,110.001,81.354,65.2955,80.9175,59.39,74.2359,81.7993,72.8161,75.6781
Q06787,43.4882,63.1173,67.4204,68.4026,39.3706,66.5738,71.3833,62.5669,53.0124,47.7944,63.4962,60.2604,55.0021,48.6461,57.868,42.4849,45.2908,16.5537,37.1891,32.5962,30.408,26.2525,30.6934,14.4075
Q08AG7,151.564,156.627,239.055,240.589,215.894,216.857,236.007,209.442,155.024,190.137,181.956,192.533,186.262,172.08,175.341,184.97,76.1596,74.5759,53.8823,119.59,58.1977,103.081,95.9652,87.2069
Q10570,77.2,71.3923,92.6203,74.7676,60.2706,81.9043,76.4367,89.3675,58.2017,71.4688,77.6466,78.6031,79.3672,80.2509,73.1496,79.8898,55.6038,66.2526,59.2198,74.6895,56.5161,62.2873,55.4723,60.765
Q13164,,,37.321,47.5648,,40.534,32.6047,15.9012,,24.7557,37.5031,40.5118,38.914,32.1424,,,14.2855,,,16.2003,,,12.9752,12.3815
Q13432,30.0012,28.8842,60.5061,54.8008,40.5271,66.2406,57.8246,65.6694,52.3941,55.9245,54.6788,50.5333,60.6258,52.951,43.1368,51.381,47.4366,26.0619,17.1949,40.586,25.7794,20.6455,24.5691,27.5738
Q13889,32.5973,98.3361,145.561,13.474,24.6856,66.028,70.065,88.9554,19.4807,37.4023,40.9097,41.5706,43.0966,42.9736,32.0545,31.9601,5.41177,16.7364,,14.1591,,4.5426,10.5945,
Q14728,90.6766,201.469,157.421,217.5,91.5562,156.065,164.165,231.584,292.271,294.082,206.277,259.725,187.19,242.612,181.751,183.347,303.595,636.547,739.629,261.72,507.919,462.089,626.1,382.939
Q14790,48.4058,79.6007,45.8763,38.8248,89.5768,50.0765,42.146,28.0304,24.9867,26.5095,23.9543,20.0189,28.7655,22.9218,19.3084,26.1315,30.319,28.6459,37.5308,39.1785,32.6276,26.1511,33.0005,45.3827
Q14CN4,200.24,369.713,580.027,492.473,265.075,453.18,454.683,299.49,333.789,441.94,361.13,279.356,184.143,257.104,224.24,232.449,209.522,129.899,106.812,152.659,113.909,164.969,39.3196,154.352
Q15717,220.427,212.032,191.67,213.682,213.918,202.413,223.215,196.91,164.996,164.49,179.847,171.298,170.81,172.054,170.514,162.974,189.122,205.545,180.181,191.492,188.867,190.104,173.177,191.353
